time_to_ack,chunk,channel_sleep_v,channel_sleep_factor,channel_p_drop_server,channel_p_drop_client
0.24619102478027344,ese comes ou,0.05,4.0,0.0,0.0
0.3412039279937744,t everybody',0.05,4.0,0.0,0.0
0.33658480644226074,"s happy.
Cre",0.05,4.0,0.0,0.0
0.3178367614746094,am cheese wh,0.05,4.0,0.0,0.0
0.22508811950683594,o moved my c,0.05,4.0,0.0,0.0
0.3634152412414551,heese melted,0.05,4.0,0.0,0.0
0.25356292724609375, cheese. Sti,0.05,4.0,0.0,0.0
0.16756105422973633,nking bishop,0.05,4.0,0.0,0.0
0.2948567867279053, jarlsberg c,0.05,4.0,0.0,0.0
0.29730892181396484,ow taleggio ,0.05,4.0,0.0,0.0
0.25753211975097656,everyone lov,0.05,4.0,0.0,0.0
0.3341031074523926,es port-salu,0.05,4.0,0.0,0.0
0.19412994384765625,t blue caste,0.05,4.0,0.0,0.0
0.22833585739135742,llo taleggio,0.05,4.0,0.0,0.0
0.32028913497924805,. Babybel ch,0.05,4.0,0.0,0.0
0.2209489345550537,eesy feet ev,0.05,4.0,0.0,0.0
0.37923192977905273,eryone loves,0.05,4.0,0.0,0.0
0.2693288326263428, cow say che,0.05,4.0,0.0,0.0
0.2703533172607422,ese the big ,0.05,4.0,0.0,0.0
0.2621879577636719,cheese chedd,0.05,4.0,0.0,0.0
0.21061015129089355,ar cheesecak,0.05,4.0,0.0,0.0
0.3171877861022949,e. Cheese an,0.05,4.0,0.0,0.0
0.24393200874328613,d wine blue ,0.05,4.0,0.0,0.0
0.1722559928894043,castello dol,0.05,4.0,0.0,0.0
0.2690410614013672,celatte peco,0.05,4.0,0.0,0.0
0.17362713813781738,"rino.
Hallou",0.05,4.0,0.0,0.0
0.27799320220947266,mi pepper ja,0.05,4.0,0.0,0.0
0.2659151554107666,ck cheese an,0.05,4.0,0.0,0.0
0.1350259780883789,d wine. Chee,0.05,4.0,0.0,0.0
0.17701077461242676,se triangles,0.05,4.0,0.0,0.0
0.2216339111328125, port-salut ,0.05,4.0,0.0,0.0
0.25541090965270996,pepper jack ,0.05,4.0,0.0,0.0
0.2863306999206543,cheesecake q,0.05,4.0,0.0,0.0
0.14316701889038086,ueso everyon,0.05,4.0,0.0,0.0
0.3571958541870117,e loves lanc,0.05,4.0,0.0,0.0
0.17940211296081543,ashire every,0.05,4.0,0.0,0.0
0.2610149383544922,one loves. C,0.05,4.0,0.0,0.0
0.18143177032470703,auliflower c,0.05,4.0,0.0,0.0
0.2939279079437256,heese camemb,0.05,4.0,0.0,0.0
0.21327495574951172,ert de norma,0.05,4.0,0.0,0.0
0.12460494041442871,ndie pepper ,0.05,4.0,0.0,0.0
0.30167222023010254,jack cheese ,0.05,4.0,0.0,0.0
0.2824242115020752,slices masca,0.05,4.0,0.0,0.0
0.18430519104003906,rpone cheese,0.05,4.0,0.0,0.0
0.2616550922393799, slices came,0.05,4.0,0.0,0.0
0.3358640670776367,mbert de nor,0.05,4.0,0.0,0.0
0.3607761859893799,mandie froma,0.05,4.0,0.0,0.0
0.18977880477905273,ge. Everyone,0.05,4.0,0.0,0.0
0.19659113883972168, loves swiss,0.05,4.0,0.0,0.0
0.3234879970550537, parmesan ru,0.05,4.0,0.0,0.0
0.26974916458129883,bber cheese ,0.05,4.0,0.0,0.0
0.3078041076660156,cheesecake.,0.05,4.0,0.0,0.0
